Table 10.21,,,,,,,,,,,,,
"NUMBER OF SCHOOLS, EXAMINEES AND DISTRIBUTION OF PASSERS BY SEX",,,,,,,,,,,,,
IN VARIOUS LICENSURE EXAMINATION,,,,,,,,,,,,,
2014 and 2015,,,,,,,,,,,,,
,,,,,,,,,,,,,
Licensure Examination,Schools,,Examinees,,Passers,,,,,,Overall,,
Midwives,177,307,"5,133","4,834","2,494","2,349",145,"2,155","2,051",104, 48.59 ,44.58,
Mining Engineers,10,9,146,214,123,46,77,173,70,103, 84.25 ,80.84,
"Naval Architecture & Marine
   Engineers",4,4,105,77,57,16,41,39,13,26, 54.29 ,50.65,
Nurses,503,502,"55,873","36,391","26,517","19,978","6,539","18,821","14,543","4,278", 47.46 ,51.72,
Nutritionists-Dietitians,40,47,997,"1,089",634,551,83,705,599,106, 63.59 ,64.74,
Occupational Therapists,17,16,251,257,118,90,28,161,114,47, 47.01 ,62.65,
Optometrists ,8,9,118,113,111,76,35,105,76,29, 94.07 ,92.92,
Pharmacists,53,56,"4,538","5,437","2,462","1,993",469,"3,296","2,672",624, 54.25 ,60.62,
Physical Therapists,82,82,"1,584","1,634",881,551,330,962,580,382, 55.62 ,58.87,
Physicians,40,45,"3,545","3,753","2,643","1,605","1,038","3,085","1,898","1,187", 74.56 ,82.20,
Psychologist,14,22,53,76,35,26,9,36,27,9, 66.04 ,47.37,
Radiologic Technology,72,78,"2,150","3,043","1,258",712,546,"1,325",752,573, 58.51 ,43.54,
Registered Electrical Engineers,181,184,"5,305","5,658","2,764",419,"2,345","3,420",460,"2,960", 52.10 ,60.45,
Real Estate Brokers,560,901,"3,535","10,370","2,048","1,059",989,"5,220","2,804","2,416", 57.93 ,50.34,
Respiratory Therapists,19,18,618,600,382,222,160,407,248,159, 61.81 ,67.83,
Sanitary Engineers,11,11,166,188,106,44,62,101,52,49, 63.86 ,53.72,
Social Workers,87,96,"2,031","2,654","1,110",916,194,"1,817","1,503",314, 54.65 ,68.46,
Teachers-Elementary level,"1,366","1,397","107,984","112,578","36,421","30,492","5,929","33,564","28,339","5,225", 33.73 ,29.81,
Teachers-Secondary level,"1,867","1,976","118,499","138,049","38,800","27,987","10,813","51,914","37,755","14,159", 32.74 ,37.61,
Veterinarians,24,23,666,719,220,112,108,299,165,134, 33.03 ,41.59,
X-Ray Technologists,24,37,158,210,43,21,22,53,31,22, 27.22 ,25.24,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: 1. Only CHED Monitored Licensure examinations are included, statistics for special examinations conducted abroad are not included. ",,,,,,,,,,,,,
"           a  PRC Resolution No. 2014-862 dated Aug. 13, 2014 sought to indefinitely postpone the Fisheries Technologists licensure exam until the new members of the Board have been duly ",,,,,,,,,,,,,
             appointed and qualified.,,,,,,,,,,,,,
"           b  PRC Resolution No. 2015-949 dated Nov. 4, 2015 sought to indefintely postpone the Geologists licensure exam until the new members of the Board have been duly appointed",,,,,,,,,,,,,
            and qualified.,,,,,,,,,,,,,
"                 c  PRC Resolution No. 2015-01 dated March 5, 2015 sought to indefinitely postpone the BELA until the new members of the Board have been duly appointed and qualified.",,,,,,,,,,,,,
"                d  Republic Act No. 10635 dated March 14, mandated the transfer of jurisdiction from the PRC to MARINA of the Board of Marine Deck officers and Board of Marine Engineer ",,,,,,,,,,,,,
              Officer licensure examinations.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Source: Professional Regulation Commission,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
