Table 10.22,,,,,,,,,,,,
"NUMBER OF SCHOOLS, EXAMINEES AND DISTRIBUTION OF PASSERS BY SEX",,,,,,,,,,,,
IN VARIOUS LICENSURE EXAMINATION,,,,,,,,,,,,
2010 and 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Licensure Examination,Schools,,Examinees,,Passers,,,,,,Overall,
Social Workers,74,74,"1,321","1,255",770,641,129,804,679,125, 58.3 , 64.1 
Teachers-Elementary level,"1,263","1,263","71,342","78,193","12,607","10,419","2,188","15,464","12,886","2,578", 17.7 , 19.8 
Teachers-Secondary level,"1,527","1,527","64,509","70,995","15,976","11,406","4,570","20,815","15,171","5,644", 24.8 , 29.3 
Veterinarians,24,24,696,566,216,118,98,204,106,98, 31.0 , 36.0 
X-Ray Technologists,38,38,266,262,69,27,42,66,31,35, 25.9 , 25.2 
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: Professional Regulation Commission.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
