Table 10.21,,,,,,,,,,,,
"NUMBER OF SCHOOLS, EXAMINEES AND DISTRIBUTION OF PASSERS BY SEX",,,,,,,,,,,,
IN VARIOUS LICENSURE EXAMINATION,,,,,,,,,,,,
2012 and 2013,,,,,,,,,,,,
,,,,,,,,,,,,
Licensure Examination,Schools,,Examinees,,Passers,,,,,,Overall,
Geologists,6,6,141,195,78,29,49,113,49,64, 55.32 , 57.95 
Guidance Counselors,112,111,336,411,185,155,30,169,140,29, 55.06 , 41.12 
Interior Designers,24,35,310,292,172,140,32,202,163,39, 55.48 , 69.18 
Landscape Architects,4,4,33,31,22,13,9,20,12,8, 66.67 , 64.52 
Librarians,91,92,812,834,379,316,63,382,303,79, 46.67 , 45.80 
Marine Deck Officers-Operational Level ,117,107,"4,273","2,639","2,439",13,"2,426","1,451",10,"1,441", 57.08 , 54.98 
Marine Engine Officers-Operational Level ,110,84,"1,560",794,948,1,947,502,3,499, 60.77 , 63.22 
Mechanical Engineers,143,142,"3,989","4,505","2,676",254,"2,422","2,918",336,"2,582", 67.08 , 64.77 
Medical Technologists,79,79,"2,669","3,631","2,054","1,455",599,"2,917","2,063",854, 76.96 , 80.34 
Metallurgical Engineers,3,2,53,52,41,19,22,28,12,16, 77.36 , 53.85 
Midwives,309,305,"5,863","5,224","2,810","2,587",223,"2,509","2,370",139, 47.93 , 48.03 
Mining Engineers,5,9,67,141,57,10,47,117,38,79, 85.07 , 82.98 
"Naval Architecture & Marine
   Engineers",3,4,81,88,46,12,34,48,16,32, 56.79 , 54.55 
Nurses,501,493,"109,961","73,362","44,731","32,751","11,980","27,196","20,254","6,942", 40.68 , 37.07 
Nutritionists-Dietitians,42,45,896,940,601,512,89,605,500,105, 67.08 , 64.36 
Occupational Therapists,18,16,184,214,76,59,17,96,68,28, 41.30 , 44.86 
Optometrists - 6 years,10,8,79,96,66,42,24,82,57,25, 83.54 , 85.42 
Optometrists - 4 years,17,…,273,…,185,147,38,…,…,…, 67.77 ,…
Pharmacists,45,47,"2,879","3,530","1,693","1,326",367,"2,026","1,633",393, 58.81 , 57.39 
Physical Therapists,93,86,"1,494","1,258",777,476,301,640,387,253, 52.01 , 50.87 
Physicians,41,42,"3,126","3,074","2,204","1,456",748,"2,254","1,419",835, 70.51 , 73.32 
Radiologic Technology,61,65,"2,094","2,208",947,451,496,"1,140",603,537, 45.22 , 51.63 
Registered Electrical Engineers,181,181,"4,602","4,729","2,292",288,"2,004","2,287",290,"1,997", 49.80 , 48.36 
Real Estate Brokers,620,500,"4,801","2,969","3,192","1,748","1,444","1,928","1,044",884, 66.49 , 64.94 
Respiratory Therapists,…,20,…,790,…,…,…,326,192,134,…, 41.27 
Sanitary Engineers,12,12,105,133,53,22,31,86,33,53, 50.48 , 64.66 
Social Workers,77,83,"1,429","1,827",893,768,125,"1,015",851,164, 62.49 , 55.56 
Teachers-Elementary level,"1,333","1,338","83,780","99,248","39,061","32,890","6,171","29,694","24,919","4,775", 46.62 , 29.92 
Teachers-Secondary level,"1,668","1,761","76,649","103,220","27,983","20,297","7,686","40,978","30,008","10,970", 36.51 , 39.70 
Veterinarians,25,23,703,611,230,118,112,242,144,98, 32.72 , 39.61 
X-Ray Technologists,37,33,307,227,79,37,42,49,24,25, 25.73 , 21.59 
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: Professional Regulation Commission.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
